predicted forward vel,predicted angular vel
12.616316,-0.012847735
12.3910675,-0.011970691
12.266977,-0.010866389
12.3679695,-0.0114678275
12.139023,-0.012208989
12.151268,-0.016201938
12.080847,-0.015578555
12.331228,-0.011931473
12.187387,-0.0087262895
12.231861,-0.01266578
12.369886,-0.014721429
12.2119465,-0.01486565
12.200291,-0.016882805
12.192543,-0.017765155
12.210363,-0.016922219
12.3003845,-0.015884327
12.08857,-0.011982342
12.074938,-0.01431739
11.996458,-0.014748948
12.005142,-0.011331936
12.031744,-0.017342174
12.236483,-0.016581843
12.26066,-0.013040448
12.009827,-0.0063188653
11.914204,-0.0029579941
12.046162,-0.00018221699
11.862354,0.0036826152
11.74011,0.0055807186
11.869787,0.00031525828
11.809336,-0.00093257986
11.930626,-0.008132158
12.010593,-0.006110223
12.082905,-0.0096091945
12.2117405,-0.008407233
12.181469,-0.009312293
12.132013,-0.006604133
12.174625,-0.0079186335
12.118937,-0.004184941
12.12537,-0.004288029
12.095268,-0.00221009
11.928532,-0.008939611
11.895285,-0.009275533
12.173676,-0.013300728
12.095644,-0.014957102
12.089611,-0.015836118
12.023346,-0.017193636
11.917051,-0.0131069515
11.757182,-0.014650643
11.939989,-0.01678623
11.889458,-0.0150121115
11.781683,-0.01624422
11.909124,-0.013766738
11.662271,-0.02135153
11.599903,-0.023103384
11.996344,-0.013020767
12.065418,-0.016880328
12.10742,-0.015982447
11.944159,-0.013887325
11.962208,-0.011928221
11.800776,-0.01039624
11.710033,-0.0155222025
11.596363,-0.012173779
11.626942,-0.01212948
11.634511,-0.010945179
11.318445,-0.0067237895
11.047295,-0.0045649894
11.0077915,-0.005562527
10.989347,-0.0084216725
10.928282,-0.0023453292
10.831787,0.015687983
10.882744,0.015844846
10.795098,0.015655702
10.723016,0.013735583
10.867943,0.014144063
10.845436,0.026027273
11.019631,0.027896462
10.871202,0.033449005
10.86588,0.045066565
10.7647705,0.04338625
10.774223,0.035080776
10.98138,0.041602626
11.139887,0.052678406
11.029564,0.055882104
11.017028,0.05992885
11.104198,0.06006498
11.26546,0.063311376
11.299852,0.061778888
11.373062,0.060499147
11.493427,0.062694885
11.549892,0.061426923
11.436217,0.058582053
11.496173,0.059148334
11.433027,0.05540114
11.54394,0.058984727
11.648146,0.05852337
11.655154,0.055130452
11.59169,0.0564557
11.513965,0.055789635
11.61048,0.055352792
11.685984,0.051568426
11.852182,0.05122532
11.901293,0.047140803
11.996111,0.04840835
11.987665,0.045694895
12.007505,0.03582181
12.108068,0.026611604
11.955347,0.03532096
12.077253,0.032456078
12.053133,0.03871613
12.142923,0.035567686
12.129757,0.034328125
12.141409,0.027709115
12.073597,0.029097816
12.103024,0.01605041
12.457293,0.015888218
12.384241,0.0116551565
12.411726,0.010747573
12.330912,-0.005222542
12.495344,-0.0066272337
12.402016,-0.005964523
12.462294,-0.00573376
12.515755,-0.005673945
12.524563,0.0030628694
12.546507,0.0013756109
12.662691,0.0021245768
12.664711,0.00019936264
12.815784,-0.0029304381
12.922703,-0.0027020425
13.072451,-0.0030429568
12.940725,-0.004783662
12.8163395,-0.0034480542
12.844574,-0.0017399807
12.840452,0.0039771935
12.737284,0.008522041
12.742552,0.0035315165
12.770086,-0.00036436133
12.801903,-0.00357279
12.692085,-0.0040696803
12.746208,-0.003193641
12.743181,-0.011180295
12.637468,-0.014175849
12.734503,-0.014863877
12.851097,-0.008890184
12.770834,-0.010648105
12.7972145,-0.008396335
12.694603,-0.007953418
12.760145,-0.008857308
12.8004265,-0.007163901
12.757366,-0.006366741
12.861704,-0.0064531323
12.8094635,-0.008069953
12.767527,-0.0067905486
12.750368,-0.009210531
12.881899,-0.007635435
12.850313,-0.004476417
12.87117,-0.008331481
12.841145,-0.009027172
12.637159,-0.009224433
12.525486,-0.005553266
12.333,-0.00017869659
12.498636,0.0019285949
12.439449,0.0014653876
12.171135,-0.00081675686
12.113274,-0.002858024
12.110552,-0.001566615
11.862127,-0.0015493054
11.475304,-0.0020268094
11.777602,-0.0016575512
11.760944,-0.0034801103
11.723625,-0.0015551522
11.745259,-0.0011593178
11.790397,-0.006567035
11.728487,-0.003519239
11.550423,0.012863753
11.281849,0.0005111983
11.377933,-0.0043824
11.232675,-0.0152208265
11.14246,-0.016706435
11.047003,-0.009616844
11.123923,-0.01259185
10.9929085,-0.01112167
10.642727,-0.00971471
10.053795,-0.0029473417
9.485032,-6.711483e-05
9.048834,0.003974596
9.145208,-0.008866819
8.654072,-0.016802637
8.484174,-0.01650945
8.402828,-0.0146565735
8.21395,-0.009605551
8.131214,-0.010039851
8.020678,-0.0081640575
7.956648,0.0013994966
7.59515,-0.0038009211
7.4557495,-0.020157075
7.313173,-0.017882487
7.3396044,0.0033575129
7.3157973,0.00055410527
7.1705904,0.015132777
7.1476984,0.021346178
7.04202,0.024909155
6.977725,0.015621179
7.0046697,0.021020617
6.95327,0.0038707228
6.9172673,-0.00641839
6.824788,-0.008883035
6.743331,0.012830303
6.6139936,0.013392551
6.7899513,0.009612665
6.9220424,0.0063542295
6.7374115,0.030182343
6.7972107,0.028958313
6.7143574,0.036467843
6.7890387,0.017936802
6.7698584,0.020039164
6.933133,0.031542186
7.004057,0.003843993
7.1862106,-0.014801044
7.0557437,-0.05290164
7.1354294,-0.022612924
7.0421333,-0.027017219
7.1807423,-0.02726906
7.295274,-0.006678108
7.3747387,-0.02379517
7.5978246,-0.00433523
7.746451,0.0038732141
7.647688,0.015949503
7.7126555,0.0043024467
7.785927,0.013484504
7.8141556,0.015174916
7.7972145,0.0046901936
7.8475986,0.006734521
7.893706,-0.0029388685
7.864744,-0.010199979
7.900249,-0.007313421
7.9973435,-0.008636685
8.104295,0.00071348995
8.174044,0.003012795
8.173597,0.0059861094
8.195539,0.0029464364
8.24088,0.0038240906
8.194395,0.006136882
8.2967415,0.008959377
8.207649,0.011288387
8.31441,0.0072608087
8.354719,0.003942129
8.354155,0.0026437342
8.45676,0.00021373853
8.425837,-0.0056080706
8.507618,-0.00459712
8.558493,-0.0037921946
8.549778,-0.0066222735
8.610225,-0.00948263
8.384294,-0.0057052784
8.1181135,0.009831034
8.152342,0.0122622745
8.19071,0.010079382
8.021873,0.009898464
7.929174,0.0039356397
8.235174,0.0072429515
8.331555,0.00850914
8.375824,0.0006806785
8.109884,0.021575328
7.8981824,0.027846843
7.6763854,0.028058864
7.31954,0.03028773
7.165261,0.040737987
7.200488,0.048972003
7.110389,0.07562205
6.856702,0.07859166
6.297586,0.067819215
5.9417057,0.027438104
5.876832,-0.021244938
6.2756934,-0.061666943
5.772371,0.12680332
5.630956,0.23479587
5.52413,0.32258114
5.2647715,0.36782426
5.1591263,0.31530064
5.0467896,0.4170062
4.967896,0.3860721
4.8470345,0.25337946
4.701436,0.29264933
4.7296286,0.2676982
4.651146,0.24993996
4.508262,0.28157368
4.5421352,0.27614707
4.419339,0.3093594
4.388259,0.268853
4.172992,0.2678271
4.1934533,0.22480181
3.9884822,0.32196742
3.7300198,0.45813525
3.8102882,0.4882055
3.867448,0.47964036
4.0476165,0.43435305
3.852326,0.38722074
3.37383,0.5032066
3.3463962,0.6419599
3.405614,0.7540782
3.4855733,0.69211715
3.6730282,0.80395037
3.6919444,0.7041734
3.879426,0.556113
4.2587442,0.33218744
4.399766,0.48507974
4.2384095,0.6751566
4.161337,0.75544244
4.3273387,0.71740997
4.401188,0.7032745
4.5484147,0.72279334
4.7799463,0.68488485
4.967042,0.65438026
5.4469266,0.4591243
6.0874496,0.3350723
6.312415,0.23901916
6.395455,0.24619396
6.74756,0.28544778
7.119855,0.24305063
7.4553456,0.2731603
7.5339465,0.28897977
7.5875797,0.26587108
7.8584647,0.20375298
7.982748,0.15686606
8.194092,0.11193086
8.223326,0.1272106
8.553893,0.11884301
9.077139,0.10543384
9.523649,0.10289251
9.715414,0.06445117
9.700372,0.05124499
9.737795,0.028419489
9.786575,0.03389828
10.163514,0.045617804
10.419704,0.03215959
10.891556,0.015829071
11.2843,0.013629281
11.705493,0.014632195
11.877823,0.015690016
11.996714,0.015995223
12.059359,0.017506998
12.344965,0.022794692
12.295429,0.022215858
12.45414,0.01953261
12.475586,0.018777873
12.626154,0.016793406
12.820574,0.014540327
12.854963,0.01453167
13.17981,0.01796472
13.267233,0.01653651
13.399517,0.01343041
13.3855095,0.014504703
13.390274,0.016055059
13.277105,0.01371019
13.264946,0.014181044
13.043335,0.020346062
13.228256,0.018969428
13.223053,0.01101816
13.080614,0.0045699673
13.188004,-0.0032106247
13.470404,-0.0052783843
13.403065,-0.0041628126
13.2924595,-0.0031140074
13.213041,-0.0008481201
13.30765,0.0009891568
13.311794,0.005305931
13.274881,0.0052008564
13.317602,0.008588157
13.36533,0.009312859
13.484621,0.008506484
13.37027,0.01047693
13.481485,0.0106674535
13.461998,0.013821114
13.521685,0.0099746715
13.449205,0.009140564
13.583017,0.012947694
13.540308,0.011978468
13.725687,0.00790815
13.796343,0.010346707
13.92248,0.004850222
13.899408,0.0046074195
13.967325,0.0064862706
13.93927,0.01031472
13.866755,0.0134902
13.918585,0.014199451
13.958092,0.014773944
13.803942,0.01453438
13.8299675,0.018458327
13.917971,0.014967088
13.921133,0.010380865
13.901884,0.00837643
14.009161,0.004432168
14.042475,0.0051233713
13.957142,0.0040251715
13.850779,0.0062600486
13.776424,0.011929588
13.908854,0.016067337
13.870108,0.015922345
13.847956,0.008432837
13.776678,0.010518395
13.83651,0.018617991
14.004753,0.025829036
14.021391,0.02666749
13.967463,0.023890033
13.815475,0.022397315
13.761036,0.028717015
13.994347,0.028953772
13.808434,0.026991583
14.016628,0.025640143
13.874289,0.021865942
13.766502,0.02133298
13.691912,0.018598855
13.411072,0.010010537
13.313444,0.0047482485
13.0927925,0.007059466
12.957888,0.006677719
12.939674,0.008309624
12.734907,0.010188503
12.728159,0.0049235467
12.731976,0.0008803671
12.535969,0.002167277
12.239788,0.0024513267
12.035242,0.0011061085
11.927233,0.0017983317
11.79725,0.0027521001
11.670044,0.003940792
11.184271,0.004514182
10.417511,0.0012323465
9.7143135,0.0028174538
9.357124,0.008100355
9.234724,0.0073528253
9.06889,0.0018440709
