predicted forward vel,predicted angular vel
12.957662,-0.018630974
12.9552145,-0.009509455
12.865465,-0.001929652
12.586118,0.015487697
12.76319,0.0019067116
12.87418,0.007163235
12.927142,-0.0004743226
12.729269,0.0028439201
12.678809,0.005628597
12.765387,0.0024445653
12.820639,0.0022486467
12.870144,-0.0028600767
12.967353,0.0048616454
13.133079,0.009970734
13.199106,0.0121695325
13.168838,0.011965631
13.152958,0.006967685
13.156323,0.005955793
13.202355,0.006876777
13.27119,0.0078071468
13.236505,0.009412807
13.217356,0.0040848665
13.295328,0.0096243
13.242784,0.008023415
13.246504,0.0053717643
13.246935,0.00371816
13.3170395,0.003959503
13.329493,0.0043430068
13.2813015,0.00030222163
13.253043,-0.0032066666
13.027523,-0.0030118488
13.089514,-0.0023666006
13.236074,-0.0011719596
13.332866,0.0019742884
13.380253,0.0032919236
13.593034,0.0056545455
13.5308485,0.0090488605
13.4996605,0.0101251695
13.501065,0.013733857
13.4675865,0.0128963245
13.3826885,0.012286442
13.310155,0.015713826
13.269104,0.01870761
13.222149,0.019021865
13.266363,0.018919049
13.212641,0.0155391805
13.231853,0.018375786
13.138903,0.016940393
13.16711,0.01731279
13.22257,0.016484525
13.287594,0.015164748
13.27948,0.01799675
13.255654,0.020602424
13.249486,0.019665625
13.291856,0.018803935
13.197087,0.017155662
13.223855,0.01819709
13.13185,0.015711382
13.166141,0.016650975
13.178663,0.017800845
13.173849,0.01720582
13.166383,0.016486235
13.128364,0.019878555
13.127131,0.018744707
13.140483,0.013342854
13.111833,0.016993575
13.089621,0.01635568
13.066095,0.019446094
13.031227,0.0160888
12.992965,0.014102189
13.02493,0.01351738
12.892412,0.013380952
12.858737,0.01501864
12.869439,0.011444457
12.943738,0.010938123
13.008783,0.010163525
12.982954,0.005995976
12.896328,0.0022715442
12.923343,0.0027547888
12.947054,0.0075782556
13.047262,0.015413554
13.044037,0.017802387
13.035541,0.015775999
12.94882,0.0131362155
12.993263,0.016150618
13.046988,0.021784384
12.997875,0.019441925
13.038667,0.023553507
13.056332,0.022038486
13.089835,0.018896386
13.085831,0.019424504
13.034231,0.018797085
13.053056,0.02055766
12.984668,0.021357533
13.00916,0.020769292
13.055,0.02226065
13.061892,0.02299844
13.064678,0.025645774
13.0473,0.023710348
13.012663,0.0219568
12.999262,0.018776542
12.908594,0.012161428
12.814079,0.01192654
12.836509,0.015608898
12.833512,0.014736557
12.8425865,0.007561747
12.866495,0.010692394
12.878094,0.007873153
12.949375,0.010278107
12.928522,0.0047315434
12.733892,0.0067570163
12.751719,0.012113497
12.747656,0.012688103
12.8567,0.010050824
13.109149,0.009668879
13.055726,0.00573856
12.92656,0.0034076758
13.133605,-0.0025930759
13.212984,0.0027443394
13.063309,-0.0031247344
13.077441,0.0015922189
12.994286,0.005212974
13.072816,0.0038927794
12.861851,0.010121634
12.853758,0.00977917
12.954857,0.010469148
12.984573,0.01095143
12.985004,0.015699936
12.880207,0.013659934
12.915685,0.011769148
12.937862,0.012890488
13.046572,0.015904814
12.972894,0.011322906
12.954758,0.009500822
12.9825115,0.014544688
13.036097,0.014558319
13.026503,0.020388413
13.107443,0.015377011
13.164759,0.025895916
13.163354,0.023407873
13.1523905,0.02313596
13.20946,0.027046155
13.19921,0.023773288
13.235779,0.021100387
13.228796,0.019561725
13.187848,0.017466556
13.268681,0.019385634
13.547045,0.025580507
13.592538,0.022870785
13.540659,0.014519835
13.640391,0.01258878
13.633744,0.008025032
13.58582,0.010941153
13.675515,0.013843717
13.555282,0.01909727
13.726955,0.015297748
13.740754,0.017054837
13.865251,0.018362062
13.809643,0.018496292
13.860228,0.01940061
13.912595,0.018323665
14.029463,0.014216665
14.023244,0.009847259
13.933957,0.0058822557
13.970049,0.004841447
14.043509,0.0013053324
13.978057,0.00015649572
13.99526,-0.0023390912
14.145293,-0.007963248
14.1843405,-0.008443356
14.220009,-0.009227548
14.340557,-0.010306217
14.587112,-0.015605897
14.491583,-0.017415658
14.397936,-0.012525953
14.464457,-0.011816733
14.365938,-0.012441717
14.414827,-0.0096788965
14.670881,-0.013632644
14.567602,-0.009963412
14.817339,-0.014443528
14.823343,-0.015339036
14.792798,-0.006164795
14.677416,-0.0070902463
14.723797,-0.00029495917
14.795994,0.010968644
14.765388,0.007201314
14.786291,0.013856158
14.994019,0.012254385
14.800206,0.013373634
14.918287,0.012873847
14.928293,0.013601238
14.890175,0.009191059
15.00075,0.002635654
14.923037,0.006565649
14.832664,0.0066604298
14.919228,0.0063098483
14.896108,0.023178117
14.910864,0.02175316
